01,0,gpio
01,1,uart0_rxd
01,2,i2c_sda
01,3,uart1_txd
01,4,tim0_tog
01,5,tim5_chb
01,6,spi_sck
01,7,tim2_ext
02,0,gpio
02,1,uart0_txd
02,2,i2c_scl
02,3,uart1_rxd
02,4,tim0_togn
02,5,tim6_cha
02,6,spi_cs
02,7,tim2_gate
03,0,gpio
03,1,pca_ch3
03,2,spi_cs
03,3,tim6_chb
03,4,lptim_ext
03,5,rtc_1hz
03,6,pca_eci
03,7,vc0_out
14,0,gpio
14,1,i2c_scl
14,2,tim2_togn
14,3,pca_eci
14,4,adc_rdy
14,5,spi_cs
14,6,uart0_txd
14,7,unused
15,0,gpio
15,1,i2c_sda
15,2,tim2_tog
15,3,tim4_chb
15,4,lptimer_gate
15,5,spi_sck
15,6,uart0_rxd
15,7,lvd_out
23,0,gpio
23,1,tim6_cha
23,2,tim4_chb
23,3,tim4_cha
23,4,pca_ch0
23,5,spi_CIPO
23,6,uart1_txd
23,7,ir_out
24,0,gpio
24,1,tim4_chb
24,2,tim5_chb
24,3,hclk_out
24,4,pca_ch1
24,5,spi_COPI
24,6,uart1_rxd
24,7,vc1_out
25,0,gpio
25,1,spi_sck
25,2,pca_ch0
25,3,tim5_cha
25,4,lvd_out
25,5,luuart_rxd
25,6,i2c_sda
25,7,tim1_gate
26,0,gpio
26,1,spi_copi
26,2,tim4_cha
26,3,tim4_chb
26,4,pca_ch2
26,5,lpuart_txd
26,6,i2c_scl
26,7,tim1_ext
27,0,gpio
27,1,spi_cipo
27,2,tim5_cha
27,3,tim6_cha
27,4,pca_ch3
27,5,uart0_rxd
27,6,rch_out
27,7,xth_out
31,0,gpio
31,1,lptim_tog
31,2,pca_eci
31,3,pclk_out
31,4,vc0_out
31,5,uart0_txd
31,6,rcl_out
31,7,hclk_out
32,0,gpio
32,1,lptim_togn
32,2,pca_ch2
32,3,tim6_chb
32,4,vc1_out
32,5,uart1_txd
32,6,hca_ch4
32,7,rtc_1hz
33,0,gpio
33,1,lpuart_rxd
33,2,pca_ch1
33,3,tim5_chb
33,4,pca_eci
33,5,uart1_rxd
33,6,xtl_out
33,7,tim1_togn
34,0,gpio
34,1,pca_ch0
34,2,lpuart_txd
34,3,tim5_cha
34,4,tim0_ext
34,5,tim4_cha
34,6,rtc_1hz
34,7,tim1_tog
35,0,gpio
35,1,uart1_txd
35,2,tim6_chb
35,3,uart0_txd
35,4,tim0_gate
35,5,tim4_chb
35,6,spi_CIPO
35,7,i2c_sda
36,0,gpio
36,1,uart1_rxd
36,2,tim6_cha
36,3,uart0_rxd
36,4,pca_ch4
36,5,tim5_cha
36,6,spi_COPI
36,7,i2c_scl

